CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-86765,ABROLHOS,N,0.0,Pane,Automatica,-17.96305555,0-76-0-2906907000000408,4,20.93,BA,A422,-38.70333333,2008-07-20
0-2000-0-81755,ACARAU,N,0.0,Operante,Automatica,-3.1211111,0-76-0-2300200000000446,3,67.15,CE,A360,-40.08722221,2009-04-21
0-2000-0-86827,AFONSO CLAUDIO,N,0.0,Pane,Automatica,-20.10416666,0-76-0-3200102000000478,6,507.48,ES,A657,-41.10694444,2011-09-23
0-2000-0-86686,AGUA BOA,N,0.0,Operante,Automatica,-14.01638888,0-76-0-5100201000000157,9,440.0,MT,A908,-52.21166666,2006-12-15
0-2000-0-86812,AGUA CLARA,N,0.0,Operante,Automatica,-20.44444444,0-76-0-5000203000000463,7,323.63,MS,A756,-52.87583332,2010-08-13
0-2000-0-86716,AGUAS EMENDADAS,N,0.0,Operante,Automatica,-15.596491,0-76-0-5300108000000435,10,1030.36,DF,A045,-47.625801,2008-10-02
0-2000-0-86722,AGUAS VERMELHAS,N,0.0,Operante,Automatica,-15.75166666,0-76-0-3101003000000252,5,754.07,MG,A549,-41.45777777,2007-09-08
0-2000-0-86803,AIMORES,N,0.0,Operante,Automatica,-19.53277777,0-76-0-3101102000000239,5,287.74,MG,A534,-41.09083333,2007-08-04
0-2000-0-86828,ALEGRE,N,0.0,Operante,Automatica,-20.75055555,0-76-0-3200201000000125,6,138.0,ES,A617,-41.48888888,2006-10-24
0-2000-0-86975,ALEGRETE,N,0.0,Operante,Automatica,-29.70916666,0-76-0-4300406000000113,8,120.88,RS,A826,-55.52555554,2006-09-27
0-2000-0-86829,ALFREDO CHAVES,N,0.0,Pane,Automatica,-20.63638888,0-76-0-3200300000000135,6,14.19,ES,A615,-40.74194444,2006-11-02
0-2000-0-86627,ALMAS,N,0.0,Operante,Automatica,-11.28416666,0-76-0-1700400000000508,10,503.0,TO,A053,-47.21222222,2016-03-31
0-2000-0-86743,ALMENARA,N,0.0,Operante,Automatica,-16.16666666,0-76-0-3101706000000034,5,189.11,MG,A508,-40.68777777,2002-12-14
0-2000-0-81977,ALTA FLORESTA,N,0.0,Operante,Automatica,-10.07722221,0-76-0-5100250000000192,9,291.85,MT,A924,-56.17916666,2007-05-22
0-2000-0-81738,ALTAMIRA,N,0.0,Operante,Automatica,-3.26999999,0-76-0-1500602000000585,2,191.0,PA,A253,-52.39472221,2018-10-24
0-2000-0-86749,ALTO ARAGUAIA,N,0.0,Operante,Automatica,-17.33944444,0-76-0-5100300000000477,9,753.28,MT,A909,-53.22444443,2011-09-21
0-2000-0-86691,ALTO PARAISO DE GOIAS,N,0.0,Operante,Automatica,-14.13305554,0-76-0-5200605000000208,10,1264.7,GO,A024,-47.52333332,2007-06-03
0-2000-0-81985,ALTO PARNAIBA,N,0.0,Operante,Automatica,-9.10833333,0-76-0-2100501000000375,2,283.69,MA,A223,-45.93194443,2008-06-02
0-2000-0-86750,ALTO TAQUARI,N,0.0,Operante,Automatica,-17.8411111,0-76-0-5100607000000284,9,862.42,MT,A934,-53.28944444,2008-01-28
0-2000-0-81846,ALVORADA DO GURGUEIA,N,0.0,Operante,Automatica,-8.37638888,0-76-0-2202307000000274,3,225.0,PI,A336,-43.85944444,2007-11-16
0-2000-0-86894,AMAMBAI,N,0.0,Operante,Automatica,-23.0025,0-76-0-5000609000000381,7,433.59,MS,A750,-55.32944443,2008-06-10
0-2000-0-86675,AMARGOSA,N,0.0,Operante,Automatica,-13.00944444,0-76-0-2901007000000398,4,397.8,BA,A434,-39.61694443,2008-07-10
0-2000-0-81867,ANGICAL DO PIAUI,N,0.0,Pane,Automatica,-6.08944444,0-76-0-2200608000000597,3,183.0,PI,A377,-42.72749999,2019-11-13
0-2000-0-84817,ANGRA DOS REIS,N,0.0,Operante,Automatica,-22.97555554,0-76-0-3300100000000555,6,6.0,RJ,A628,-44.30333333,2017-08-24
0-2000-0-81976,APIACAS,N,0.0,Operante,Automatica,-9.56333333,0-76-0-5100805000000123,9,217.75,MT,A910,-57.3936111,2006-10-23
0-2000-0-81835,APODI,N,0.0,Operante,Automatica,-5.62666666,0-76-0-2401008000000272,3,131.41,RN,A340,-37.815,2007-11-13
0-2000-0-81893,APUI,N,0.0,Operante,Automatica,-7.20555555,0-76-0-1300144000000406,1,156.97,AM,A113,-59.8886111,2008-07-18
0-2000-0-86808,AQUIDAUANA,N,0.0,Operante,Automatica,-20.47555554,0-76-0-5001102000000132,7,151.35,MS,A719,-55.78388888,2006-10-31
0-2000-0-86616,ARACAJU,N,0.0,Operante,Automatica,-10.9525,0-76-0-2800308000000055,4,3.72,SE,A409,-37.05444444,2003-02-11
0-2000-0-86746,ARACUAI,N,0.0,Operante,Automatica,-16.84888888,0-76-0-3103405000000548,5,308.0,MG,A566,-42.03527777,2017-05-18
0-2000-0-86709,ARAGARCAS,N,0.0,Operante,Automatica,-15.90277777,0-76-0-5201702000000229,10,327.35,GO,A013,-52.24527777,2007-07-12
0-2000-0-86648,ARAGUACU,N,0.0,Pane,Automatica,-12.59222221,0-76-0-1702000000000502,10,231.0,TO,A054,-49.5286111,2015-08-18
0-2000-0-81900,ARAGUAINA,N,0.0,Operante,Automatica,-7.10388888,0-76-0-1702109000000172,10,230.76,TO,A021,-48.20111111,2007-01-25
0-2000-0-81821,ARAGUATINS,N,0.0,Operante,Automatica,-5.6436111,0-76-0-1702208000000443,10,130.71,TO,A044,-48.11194444,2009-03-11
0-2000-0-81996,ARAPIRACA,N,0.0,Operante,Automatica,-9.80444444,0-76-0-2700300000000353,3,236.84,AL,A353,-36.61916666,2008-04-26
0-2000-0-86971,ARARANGUA,N,0.0,Operante,Automatica,-28.931353,0-76-0-4201406000000433,8,2.0,SC,A867,-49.49792,2008-09-27
0-2000-0-86796,ARAXA,N,0.0,Operante,Automatica,-19.60583333,0-76-0-3104007000000037,5,1018.32,MG,A505,-46.94972221,2002-12-18
0-2000-0-81953,ARCO VERDE,N,0.0,Operante,Automatica,-8.4336111,0-76-0-2601201000000068,3,683.95,PE,A309,-37.05555555,2004-11-19
0-2000-0-81877,AREIA,N,0.0,Operante,Automatica,-6.975451,0-76-0-2501104000000066,3,573.45,PB,A310,-35.718128,2004-11-15
0-2000-0-81970,ARIQUEMES,N,0.0,Operante,Automatica,-9.94888888,0-76-0-1100023000000405,9,128.44,RO,A940,-62.96194444,2008-07-17
0-2000-0-86841,ARIRANHA,N,0.0,Operante,Automatica,-21.13305554,0-76-0-3503703000000271,7,525.44,SP,A736,-48.84055555,2007-11-12
0-2000-0-86892,ARRAIAL DO CABO,N,0.0,Operante,Automatica,-22.97527777,0-76-0-3300258000000108,6,5.0,RJ,A606,-42.02138888,2006-09-21
0-2000-0-81732,AUTAZES,N,0.0,Operante,Automatica,-3.58333333,0-76-0-1300300000000339,1,19.9,AM,A120,-59.12944443,2008-04-16
0-2000-0-86904,AVARE,N,0.0,Operante,Automatica,-23.10166666,0-76-0-3504503000000107,7,776.36,SP,A725,-48.9411111,2006-09-21
0-2000-0-81790,BACABAL,N,0.0,Operante,Automatica,-4.24305555,0-76-0-2101202000000394,2,22.33,MA,A220,-44.79499999,2008-07-08
0-2000-0-86992,BAGE,N,0.0,Operante,Automatica,-31.34777777,0-76-0-4301602000000166,8,226.19,RS,A827,-54.01333333,2007-01-03
0-2000-0-81947,BAIXA GRANDE DO RIBEIRO,N,0.0,Operante,Automatica,-8.333531,0-76-0-2201150000000578,3,519.0,PI,A375,-45.094625,2018-03-22
0-2000-0-81903,BALSAS,N,0.0,Operante,Automatica,-7.45555555,0-76-0-2101400000000260,2,271.03,MA,A204,-46.02749999,2007-10-25
0-2000-0-86806,BAMBUI,N,0.0,Operante,Automatica,-20.0311111,0-76-0-3105103000000534,5,697.0,MG,A565,-46.00888888,2016-11-22
0-2000-0-86850,BARBACENA,N,0.0,Operante,Automatica,-21.22833332,0-76-0-3105608000000026,5,1168.76,MG,A502,-43.76777777,2002-12-04
0-2000-0-81911,BARBALHA,N,0.0,Operante,Automatica,-7.30083333,0-76-0-2301901000000202,3,409.41,CE,A315,-39.2711111,2007-05-30
0-2000-0-81648,BARCELOS,N,0.0,Operante,Automatica,-0.98722221,0-76-0-1300409000000344,1,29.88,AM,A128,-62.92416666,2008-04-18
0-2000-0-86634,BARRA,N,0.0,Operante,Automatica,-11.08472221,0-76-0-2902708000000362,4,407.5,BA,A429,-43.13888888,2008-05-11
0-2000-0-86867,BARRA BONITA,N,0.0,Operante,Automatica,-22.4711111,0-76-0-3505302000000348,7,533.68,SP,A741,-48.5575,2008-04-23
0-2000-0-81825,BARRA DO CORDA,N,0.0,Pane,Automatica,-5.50666666,0-76-0-2101608000000304,2,154.19,MA,A221,-45.23694444,2008-03-05
0-2000-0-86922,BARRA DO TURVO,N,0.0,Operante,Automatica,-24.96277777,0-76-0-3505401000000393,7,659.89,SP,A746,-48.41638888,2008-07-02
0-2000-0-86652,BARREIRAS,N,0.0,Operante,Automatica,-12.12472221,0-76-0-2903201000000018,4,474.17,BA,A402,-45.02694443,2001-12-19
0-2000-0-86816,BARRETOS,N,0.0,Operante,Automatica,-20.55916666,0-76-0-3505500000000460,7,534.36,SP,A748,-48.54499999,2010-06-18
0-2000-0-86908,BARUERI,N,0.0,Operante,Automatica,-23.52388888,0-76-0-3510609000000470,7,776.5,SP,A755,-46.86944443,2011-03-28
0-2000-0-86837,BATAGUASSU,N,0.0,Operante,Automatica,-21.75,0-76-0-5001904000000492,7,392.13,MS,A759,-52.47138888,2013-03-20
0-2000-0-86865,BAURU,N,0.0,Operante,Automatica,-22.358052,0-76-0-3506003000000010,7,636.17,SP,A705,-49.028877,2001-08-29
0-2000-0-84806,BEBEDOURO,N,0.0,Operante,Automatica,-20.94805555,0-76-0-3506102000000528,7,542.0,SP,A764,-48.47138888,2016-10-26
0-2000-0-81680,BELEM,N,0.0,Operante,Automatica,-1.411228,0-76-0-1501402000000042,2,21.17,PA,A201,-48.439512,2003-01-19
0-2000-0-86744,BELMONTE,N,0.0,Operante,Automatica,-16.08805555,0-76-0-2903409000000453,4,89.67,BA,A447,-39.21527777,2009-07-01
0-2000-0-86800,BELO HORIZONTE (PAMPULHA),N,0.0,Operante,Automatica,-19.88388888,0-76-0-3106200000000116,5,854.02,MG,A521,-43.96944443,2006-10-09
0-2000-0-86799,BELO HORIZONTE - CERCADINHO,N,0.0,Operante,Automatica,-19.97999999,0-76-0-3106200000000597,5,1199.55,MG,F501,-43.95861111,2013-12-26
0-2000-0-86979,BENTO GONCALVES,N,0.0,Operante,Automatica,-29.164581,0-76-0-4302105000000152,8,623.27,RS,A840,-51.534202,2006-11-30
0-2000-0-86900,BERTIOGA,N,0.0,Operante,Automatica,-23.84472221,0-76-0-3506359000000536,7,5.0,SP,A765,-46.14333333,2017-01-31
0-2000-0-81615,BOA VISTA,N,0.0,Operante,Automatica,2.81694443,0-76-0-1400100000000465,1,82.35,RR,A135,-60.69083333,2010-08-25
0-2000-0-81927,BOCA DO ACRE,N,0.0,Operante,Automatica,-8.77666666,0-76-0-1300706000000400,1,111.98,AM,A110,-67.33249999,2008-07-14
0-2000-0-86968,BOM JARDIM DA SERRA - MORRO DA IGREJA,N,0.0,Operante,Automatica,-28.12694443,0-76-0-4218905000000213,8,1790.38,SC,A845,-49.47972221,2007-06-16
0-2000-0-86672,BOM JESUS DA LAPA,N,0.0,Operante,Automatica,-13.25111111,0-76-0-2903904000000186,4,447.75,BA,A418,-43.40527777,2007-05-17
0-2000-0-81987,BOM JESUS DO PIAUI,N,0.0,Operante,Automatica,-9.07999999,0-76-0-2201903000000231,3,288.0,PI,A326,-44.32777777,2007-07-16
0-2000-0-81685,BRAGANCA,N,0.0,Operante,Automatica,-1.05583333,0-76-0-1501709000000313,2,5.6,PA,A226,-46.78277777,2008-03-10
0-2000-0-84822,BRAGANCA PAULISTA,N,0.0,Operante,Automatica,-22.94916666,0-76-0-3507605000000569,7,880.0,SP,A744,-46.5261111,2017-12-19
0-2000-0-86715,BRASILIA,N,0.0,Operante,Automatica,-15.78944444,0-76-0-5300108000000001,10,1160.96,DF,A001,-47.92583332,2000-05-06
0-2000-0-86643,BRASNORTE (NOVO MUNDO),N,0.0,Operante,Automatica,-12.52194443,0-76-0-5101902000000298,9,426.2,MT,A927,-58.23138888,2008-02-28
0-2000-0-86708,BRAZLANDIA,N,0.0,Operante,Automatica,-15.59972221,0-76-0-5300108000000551,10,1143.0,DF,A042,-48.1311111,2017-07-18
0-2000-0-86618,BREJO GRANDE,N,0.0,Operante,Automatica,-10.47388888,0-76-0-2800704000000402,4,6.11,SE,A421,-36.48194443,2008-07-16
0-2000-0-81673,BREVES,N,0.0,Pane,Automatica,-1.68027777,0-76-0-1501808000000561,2,11.0,PA,A228,-50.47805554,2017-10-19
0-2000-0-86696,BRUMADO,N,0.0,Operante,Automatica,-14.18194443,0-76-0-2904605000000354,4,473.37,BA,A433,-41.67222221,2008-04-27
0-2000-0-81788,BURITICUPU,N,0.0,Operante,Automatica,-4.32055554,0-76-0-2102325000000427,2,174.91,MA,A238,-46.44944444,2008-09-10
0-2000-0-86609,BURITIRAMA,N,0.0,Operante,Automatica,-10.72305554,0-76-0-2904753000000363,4,506.06,BA,A432,-43.65111111,2008-05-14
0-2000-0-86718,BURITIS,N,0.0,Operante,Automatica,-15.52416666,0-76-0-3109303000000214,5,894.0,MG,A544,-46.43555555,2007-06-18
0-2000-0-81915,CABACEIRAS,N,0.0,Operante,Automatica,-7.48333333,0-76-0-2503100000000295,3,391.96,PB,A348,-36.28638888,2008-02-27
0-2000-0-81951,CABROBO,N,0.0,Operante,Automatica,-8.50388888,0-76-0-2603009000000250,3,342.74,PE,A329,-39.31527777,2007-09-03
0-2000-0-86943,CACADOR,N,0.0,Operante,Automatica,-26.819156,0-76-0-4203006000000319,8,944.26,SC,A859,-50.98552,2008-03-18
0-2000-0-86986,CACAPAVA DO SUL,N,0.0,Operante,Automatica,-30.54527777,0-76-0-4302808000000079,8,420.82,RS,A812,-53.46694443,2006-06-21
0-2000-0-84820,CACHOEIRA PAULISTA,N,0.0,Operante,Automatica,-22.68888888,0-76-0-3508603000000562,7,586.0,SP,A769,-45.00555555,2017-10-19
0-2000-0-86622,CACOAL,N,0.0,Operante,Automatica,-11.44583333,0-76-0-1100049000000407,9,183.53,RO,A939,-61.43416666,2008-07-19
0-2000-0-86730,CAIAPONIA,N,0.0,Operante,Automatica,-16.96694443,0-76-0-5204409000000188,10,740.1,GO,A023,-51.81749999,2007-05-20
0-2000-0-81875,CAICO,N,0.0,Operante,Automatica,-6.46749999,0-76-0-2402006000000168,3,171.26,RN,A316,-37.08499999,2007-01-06
0-2000-0-81838,CALCANHAR,N,0.0,Pane,Automatica,-5.16,0-76-0-2414407000000360,3,9.82,RN,A344,-35.48749999,2008-05-07
0-2000-0-86846,CALDAS,N,0.0,Operante,Automatica,-21.918066,0-76-0-3110301000000148,5,1077.34,MG,A530,-46.382996,2006-11-27
0-2000-0-86989,CAMAQUA,N,0.0,Operante,Automatica,-30.807953,0-76-0-4303509000000155,8,92.3,RS,A838,-51.83424,2006-12-11
0-2000-0-81878,CAMARATUBA,N,0.0,Operante,Automatica,-6.56194444,0-76-0-2509305000000359,3,135.51,PB,A352,-35.13527777,2008-05-03
0-2000-0-84808,CAMBARA DO SUL,N,0.0,Operante,Automatica,-29.04916666,0-76-0-4303608000000535,8,1017.0,RS,A897,-50.14972221,2016-11-23
0-2000-0-86854,CAMBUCI,N,0.0,Operante,Automatica,-21.58749999,0-76-0-3300902000000025,6,46.0,RJ,A604,-41.95833333,2002-11-19
0-2000-0-81710,CAMETA,N,0.0,Pane,Automatica,-2.23972221,0-76-0-1502103000000386,2,9.92,PA,A236,-49.49972221,2008-06-19
0-2000-0-86918,CAMPINA DA LAGOA,N,0.0,Operante,Automatica,-24.57083332,0-76-0-4103909000000524,8,598.0,PR,B803,-52.80027777,2016-08-03
0-2000-0-81916,CAMPINA GRANDE,N,0.0,Pane,Automatica,-7.22555554,0-76-0-2504009000000165,3,546.17,PB,A313,-35.90472222,2006-12-21
0-2000-0-86793,CAMPINA VERDE,N,0.0,Operante,Automatica,-19.53921,0-76-0-3111101000000085,5,559.07,MG,A519,-49.518133,2006-07-14
0-2000-0-86991,CAMPO BOM,N,0.0,Operante,Automatica,-29.674293,0-76-0-4303905000000494,8,23.35,RS,A884,-51.064042,2013-11-28
0-2000-0-86810,CAMPO GRANDE,N,0.0,Operante,Automatica,-20.447195,0-76-0-5002704000000013,7,528.47,MS,A702,-54.722615,2001-09-09
0-2000-0-81795,CAMPO MAIOR,N,0.0,Operante,Automatica,-4.86416666,0-76-0-2202208000000586,3,125.0,PI,A376,-42.14555555,2018-11-22
0-2000-0-86662,CAMPO NOVO DOS PARECIS,N,0.0,Operante,Automatica,-13.78583333,0-76-0-5102637000000033,9,525.41,MT,A905,-57.8386111,2002-12-12
0-2000-0-86707,CAMPO VERDE,N,0.0,Operante,Automatica,-15.55888888,0-76-0-5102678000000143,9,747.0,MT,A912,-55.17944443,2006-11-20
0-2000-0-86872,CAMPOS DO JORDAO,N,0.0,Operante,Automatica,-22.75027777,0-76-0-3509700000000019,7,1662.95,SP,A706,-45.60388888,2002-03-12
0-2000-0-86855,CAMPOS DOS GOYTACAZES,N,0.0,Operante,Automatica,-21.71472222,0-76-0-3301009000000109,6,17.0,RJ,A607,-41.34388888,2006-09-24
0-2000-0-86890,CAMPOS DOS GOYTACAZES - SAO TOME,N,0.0,Operante,Automatica,-22.04166666,0-76-0-3301009000000382,6,7.0,RJ,A620,-41.05166666,2008-06-12
0-2000-0-81902,CAMPOS LINDOS,N,0.0,Pane,Automatica,-8.15472222,0-76-0-1703842000000487,10,426.56,TO,A043,-46.63944444,2012-10-28
0-2000-0-84826,CAMPOS NOVOS,N,0.0,Operante,Automatica,-27.3886111,0-76-0-4203600000000587,8,963.0,SC,A898,-51.21583333,2019-02-14
0-2000-0-81909,CAMPOS SALES,N,0.0,Operante,Automatica,-7.07777777,0-76-0-2302701000000307,3,577.95,CE,A347,-40.36277777,2008-03-06
0-2000-0-86980,CANELA,N,0.0,Operante,Automatica,-29.36888888,0-76-0-4304408000000415,8,830.93,RS,A879,-50.82722221,2008-08-22
0-2000-0-86993,CANGUCU,N,0.0,Operante,Automatica,-31.40333333,0-76-0-4304507000000171,8,446.81,RS,A811,-52.70083333,2007-01-23
0-2000-0-81847,CANTO DO BURITI,N,0.0,Operante,Automatica,-8.11805554,0-76-0-2202307000000459,3,312.07,PI,A365,-42.97583332,2010-06-11
0-2000-0-84829,CAPAO DO LEAO (PELOTAS),N,0.0,Operante,Automatica,-31.8025,0-76-0-4304663000000595,8,13.0,RS,A887,-52.40722222,2019-07-17
0-2000-0-86761,CAPELINHA,N,0.0,Operante,Automatica,-17.70555555,0-76-0-3112307000000248,5,932.06,MG,A541,-42.38916666,2007-08-30
0-2000-0-81684,CAPITAO POCO,N,0.0,Operante,Automatica,-1.73472221,0-76-0-1502301000000473,2,79.1,PA,A248,-47.0575,2011-04-17
0-2000-0-81988,CARACOL,N,0.0,Operante,Automatica,-9.28583333,0-76-0-2202505000000268,3,515.3,PI,A337,-43.32444443,2007-11-09
0-2000-0-86802,CARATINGA,N,0.0,Operante,Automatica,-19.73583333,0-76-0-3113404000000193,5,609.25,MG,A554,-42.13722221,2007-05-23
0-2000-0-86764,CARAVELAS,N,0.0,Operante,Automatica,-17.73944444,0-76-0-2906907000000039,4,6.05,BA,A405,-39.25861111,2002-12-19
0-2000-0-81978,CARLINDA,N,0.0,Operante,Automatica,-9.97055554,0-76-0-5102793000000330,9,293.71,MT,A926,-55.82749999,2008-04-08
0-2000-0-84824,CARMO,N,0.0,Operante,Automatica,-21.9386111,0-76-0-3301207000000583,6,293.0,RJ,A629,-42.60083333,2018-10-10
0-2000-0-81901,CAROLINA,N,0.0,Pane,Automatica,-7.33722221,0-76-0-2102804000000279,2,182.88,MA,A205,-47.45972222,2007-12-03
